Sucursal,Ciudad,Categoria,Canal,Inversion_publicidad_kUSD,Precio_medio_USD,Visitas_miles,Ventas_kUSD
SUC-141,Manta,Tecnología,Online,49.3,229.06,20.41,177.61
SUC-142,Cuenca,Vestuario,Online,38.8,45.47,30.93,182.33
SUC-143,Loja,Alimentos,Online,36.0,26.84,24.53,154.31
SUC-144,Guayaquil,Hogar,Mixto,26.4,96.36,19.64,141.07
SUC-145,Quito,Vestuario,Mixto,25.1,50.38,19.5,106.12
SUC-146,Cuenca,Hogar,Tienda física,65.9,99.39,29.91,224.65
SUC-147,Cuenca,Hogar,Tienda física,43.1,101.59,20.01,151.41
SUC-148,Guayaquil,Vestuario,Mixto,64.3,48.96,27.18,207.61
SUC-149,Loja,Hogar,Tienda física,32.5,83.01,17.6,105.63
SUC-150,Cuenca,Vestuario,Tienda física,54.1,47.23,27.96,211.33
