Parcela,Region,Variedad,Riego,Riego_mm,Fertilizante_kg_ha,Temp_media_C,Horas_sol,Rendimiento_ton_ha
P-056,Norte,Sembra,Goteo,416.5,71.0,17.2,6.36,4.46
P-057,Sur,Aurora,Gravedad,469.7,232.2,23.8,9.08,7.68
P-058,Centro,Sembra,Aspersión,545.4,115.6,19.7,6.68,5.82
P-059,Litoral,Kirán,Goteo,677.1,185.9,23.9,9.02,7.5
P-060,Norte,Kirán,Gravedad,280.9,221.1,17.4,7.93,6.53
P-061,Litoral,Aurora,Aspersión,568.8,135.6,22.0,8.18,6.18
P-062,Litoral,Kirán,Gravedad,695.2,158.3,25.8,7.69,6.8
P-063,Litoral,Sembra,Gravedad,513.0,192.4,23.0,7.51,7.27
P-064,Centro,Kirán,Goteo,573.8,183.0,19.9,7.99,6.77
P-065,Litoral,Aurora,Gravedad,519.6,194.5,26.0,7.38,6.88
P-066,Sur,Aurora,Gravedad,528.0,76.5,25.6,7.03,4.58
P-067,Centro,Aurora,Goteo,357.8,118.1,19.0,8.53,5.4
P-068,Sur,Kirán,Goteo,498.7,228.2,21.7,8.65,7.53
P-069,Litoral,Kirán,Goteo,535.7,159.5,23.5,8.03,6.52
P-070,Sur,Sembra,Gravedad,593.5,105.3,22.1,7.91,6.05
P-071,Litoral,Kirán,Goteo,562.9,177.2,24.3,6.21,6.2
P-072,Norte,Kirán,Aspersión,365.0,184.6,14.7,7.42,6.72
P-073,Centro,Sembra,Gravedad,323.1,179.3,22.5,7.4,6.38
P-074,Centro,Aurora,Aspersión,467.6,187.5,18.2,8.93,6.97
P-075,Norte,Sembra,Aspersión,316.4,155.2,14.4,6.19,5.72
P-076,Litoral,Sembra,Gravedad,506.0,225.1,23.8,5.43,7.92
P-077,Litoral,Sembra,Aspersión,612.1,195.5,25.3,7.03,7.61
P-078,Sur,Kirán,Aspersión,518.0,101.6,19.4,7.01,5.69
P-079,Litoral,Kirán,Gravedad,650.3,92.8,25.0,7.4,5.2
P-080,Norte,Aurora,Gravedad,264.2,178.0,17.3,8.04,6.55
P-081,Centro,Sembra,Goteo,442.6,124.9,21.5,6.38,6.11
P-082,Litoral,Aurora,Gravedad,637.8,163.2,23.7,8.14,6.77
P-083,Sur,Aurora,Goteo,561.9,120.0,24.1,6.77,6.14
P-084,Centro,Kirán,Goteo,496.2,220.4,21.3,5.46,7.1
P-085,Sur,Aurora,Aspersión,525.1,201.8,21.1,7.51,7.34
P-086,Norte,Kirán,Goteo,426.3,166.8,15.9,7.02,5.94
P-087,Sur,Kirán,Aspersión,400.8,181.3,18.7,8.15,6.52
P-088,Norte,Aurora,Goteo,367.3,127.4,18.9,7.35,6.02
P-089,Centro,Aurora,Aspersión,464.3,139.3,19.4,6.96,6.29
P-090,Norte,Aurora,Aspersión,335.7,123.5,19.7,6.96,5.19
P-091,Centro,Aurora,Aspersión,503.6,136.1,18.5,8.29,6.34
P-092,Centro,Sembra,Aspersión,465.2,213.4,21.3,7.91,7.77
P-093,Norte,Kirán,Goteo,457.2,130.2,20.0,7.62,5.91
P-094,Sur,Aurora,Goteo,519.2,123.6,26.1,7.07,5.91
P-095,Sur,Kirán,Gravedad,619.5,167.3,20.0,9.19,6.51
P-096,Sur,Kirán,Gravedad,535.4,94.9,22.8,7.33,5.03
P-097,Litoral,Sembra,Aspersión,549.5,137.1,26.9,7.86,6.79
P-098,Litoral,Sembra,Aspersión,578.0,160.7,28.8,8.04,6.91
P-099,Litoral,Kirán,Goteo,682.9,214.8,25.1,8.97,7.86
P-100,Norte,Aurora,Gravedad,413.0,180.7,19.7,7.16,6.35
P-101,Norte,Sembra,Gravedad,321.8,115.3,18.2,7.24,5.45
P-102,Norte,Sembra,Goteo,240.5,115.1,18.9,7.09,4.93
P-103,Sur,Kirán,Aspersión,626.5,79.3,21.1,8.63,5.41
P-104,Norte,Sembra,Aspersión,353.6,121.2,17.6,7.35,5.72
P-105,Norte,Aurora,Goteo,411.1,255.6,23.6,8.82,8.15
P-106,Norte,Kirán,Gravedad,521.7,171.1,20.7,8.55,6.29
P-107,Litoral,Aurora,Gravedad,618.8,141.7,23.8,7.73,6.16
P-108,Norte,Aurora,Goteo,426.4,135.8,15.5,8.52,5.52
P-109,Centro,Kirán,Goteo,433.2,149.0,20.0,8.15,5.76
P-110,Norte,Kirán,Gravedad,339.3,118.5,17.7,8.38,5.19
P-111,Litoral,Kirán,Goteo,659.1,157.2,26.5,9.85,7.07
P-112,Norte,Kirán,Goteo,434.1,96.7,18.3,8.57,4.78
P-113,Centro,Kirán,Aspersión,448.4,169.5,21.9,7.99,6.06
P-114,Centro,Kirán,Aspersión,390.3,219.0,16.5,6.22,6.44
P-115,Sur,Aurora,Gravedad,467.5,98.6,22.7,8.31,4.88
P-116,Centro,Kirán,Aspersión,341.3,138.3,16.2,7.43,5.7
P-117,Norte,Kirán,Aspersión,340.8,158.6,17.5,7.8,6.0
P-118,Sur,Sembra,Gravedad,521.9,69.3,20.5,7.89,4.82
P-119,Centro,Aurora,Aspersión,467.9,142.7,17.9,7.03,6.07
P-120,Litoral,Aurora,Aspersión,794.2,194.7,23.9,7.09,7.64
P-121,Sur,Sembra,Aspersión,518.5,145.8,25.1,7.98,6.81
P-122,Litoral,Kirán,Gravedad,723.6,151.9,23.7,7.71,6.8
P-123,Sur,Sembra,Goteo,506.5,93.1,23.3,6.24,5.51
P-124,Litoral,Aurora,Aspersión,693.1,185.5,26.7,7.84,7.34
P-125,Norte,Sembra,Gravedad,455.7,241.1,13.9,7.43,7.78
P-126,Litoral,Kirán,Gravedad,592.7,193.5,24.6,7.67,7.07
P-127,Norte,Aurora,Gravedad,431.2,144.8,14.6,9.02,6.2
P-128,Norte,Aurora,Gravedad,322.9,103.7,19.3,7.33,4.99
P-129,Centro,Aurora,Gravedad,409.8,114.3,20.8,7.32,5.59
P-130,Centro,Kirán,Goteo,479.6,220.5,16.1,7.36,7.22
P-131,Norte,Kirán,Goteo,456.2,149.0,18.4,5.22,5.41
P-132,Norte,Aurora,Gravedad,445.7,107.3,14.3,8.69,5.35
P-133,Norte,Kirán,Aspersión,519.1,182.9,16.9,6.84,6.75
P-134,Litoral,Kirán,Gravedad,639.3,113.0,21.7,7.06,5.74
P-135,Centro,Aurora,Goteo,415.9,172.6,18.2,8.29,6.4
P-136,Litoral,Aurora,Aspersión,588.8,164.6,25.4,7.77,6.85
P-137,Norte,Aurora,Goteo,568.3,206.2,17.9,5.53,7.12
P-138,Centro,Aurora,Aspersión,377.3,150.3,18.6,9.89,6.36
P-139,Sur,Kirán,Goteo,435.1,124.0,21.7,8.07,5.65
P-140,Litoral,Aurora,Goteo,625.3,148.3,23.2,7.74,6.59
