Registro,Ciudad,Zona,Estacion_del_ano,Trafico_veh_hora,Temp_media_C,Humedad_pct,Viento_km_h,PM25_ug_m3
AIR-042,Guayaquil,Céntrica,Primavera,1042,20.0,58.7,8.9,37.9
AIR-043,Cuenca,Periurbana,Invierno,484,15.4,46.2,11.5,30.6
AIR-044,Guayaquil,Periurbana,Invierno,506,16.4,75.0,10.1,27.8
AIR-045,Guayaquil,Residencial,Otoño,922,20.3,70.7,12.7,33.6
AIR-046,Cuenca,Céntrica,Verano,1688,26.1,56.2,10.1,40.5
AIR-047,Cuenca,Residencial,Invierno,629,13.7,63.6,9.1,27.8
AIR-048,Cuenca,Céntrica,Otoño,1670,16.9,67.7,16.7,36.7
AIR-049,Manta,Periurbana,Otoño,388,20.2,66.3,13.2,20.9
AIR-050,Cuenca,Céntrica,Primavera,1394,15.5,79.2,10.7,39.7
AIR-051,Cuenca,Céntrica,Otoño,1679,21.1,62.6,11.3,45.5
AIR-052,Quito,Periurbana,Verano,527,23.5,72.5,3.6,23.5
AIR-053,Cuenca,Residencial,Otoño,625,19.9,53.9,18.7,28.2
AIR-054,Cuenca,Residencial,Otoño,632,15.9,61.0,11.6,28.9
AIR-055,Manta,Céntrica,Otoño,1924,16.4,73.5,10.9,43.9
AIR-056,Guayaquil,Industrial,Verano,1074,28.9,63.0,13.4,35.4
AIR-057,Quito,Céntrica,Otoño,1455,17.0,47.0,8.8,48.9
AIR-058,Quito,Industrial,Verano,1182,25.2,73.3,9.5,40.4
AIR-059,Quito,Industrial,Primavera,1328,22.9,48.5,8.3,42.9
AIR-060,Cuenca,Industrial,Otoño,880,22.5,48.0,17.9,39.1
AIR-061,Manta,Industrial,Otoño,1293,17.1,58.4,14.4,44.0
AIR-062,Guayaquil,Residencial,Otoño,926,17.8,67.9,8.3,29.7
AIR-063,Quito,Residencial,Invierno,1002,12.6,64.9,10.1,41.6
AIR-064,Loja,Periurbana,Otoño,366,20.5,86.0,14.4,15.6
AIR-065,Guayaquil,Céntrica,Otoño,1303,18.6,74.4,5.9,42.2
AIR-066,Loja,Periurbana,Primavera,282,19.4,74.4,12.9,16.7
AIR-067,Cuenca,Periurbana,Invierno,284,14.7,71.9,9.4,28.4
AIR-068,Loja,Periurbana,Verano,377,22.6,58.1,15.5,20.5
AIR-069,Guayaquil,Industrial,Primavera,837,24.3,64.0,8.9,42.1
AIR-070,Manta,Industrial,Invierno,1977,12.2,66.8,10.2,55.2
AIR-071,Quito,Industrial,Primavera,1642,19.8,58.0,11.8,43.1
AIR-072,Quito,Periurbana,Verano,433,29.0,51.7,11.5,17.4
AIR-073,Guayaquil,Residencial,Primavera,780,20.2,48.3,2.3,30.3
AIR-074,Guayaquil,Residencial,Otoño,978,21.0,41.6,7.8,32.5
AIR-075,Cuenca,Periurbana,Otoño,409,20.2,67.2,12.7,20.3
AIR-076,Loja,Industrial,Otoño,1781,16.5,87.9,10.3,49.9
AIR-077,Quito,Céntrica,Verano,1842,23.0,66.9,18.7,38.1
AIR-078,Manta,Periurbana,Primavera,369,21.4,75.3,10.1,23.8
AIR-079,Loja,Periurbana,Invierno,318,15.3,79.4,8.1,28.7
AIR-080,Quito,Periurbana,Verano,302,18.4,69.0,16.2,13.5
AIR-081,Guayaquil,Residencial,Invierno,751,11.7,63.9,6.4,39.7
AIR-082,Manta,Residencial,Primavera,647,18.1,60.5,8.8,34.2
AIR-083,Cuenca,Industrial,Primavera,1399,17.5,42.1,8.9,41.8
AIR-084,Cuenca,Céntrica,Primavera,2221,18.9,54.3,13.2,51.9
AIR-085,Cuenca,Periurbana,Invierno,373,15.0,82.3,17.0,20.0
AIR-086,Quito,Industrial,Verano,1317,23.3,68.6,7.2,40.5
AIR-087,Manta,Periurbana,Invierno,441,16.7,65.7,11.0,32.0
AIR-088,Quito,Periurbana,Otoño,440,19.2,80.0,13.3,24.3
AIR-089,Manta,Periurbana,Otoño,458,21.9,54.9,12.8,23.5
AIR-090,Quito,Residencial,Otoño,933,19.5,74.5,11.2,28.5
AIR-091,Quito,Industrial,Primavera,1920,15.1,77.4,3.9,49.8
AIR-092,Cuenca,Residencial,Verano,584,21.8,70.0,10.9,25.5
AIR-093,Loja,Periurbana,Verano,522,21.8,78.5,6.5,23.0
AIR-094,Loja,Céntrica,Invierno,1682,18.8,78.6,8.1,53.3
AIR-095,Manta,Residencial,Invierno,708,16.0,40.0,14.0,33.2
AIR-096,Guayaquil,Residencial,Invierno,685,19.6,88.1,18.0,31.0
AIR-097,Quito,Industrial,Otoño,1759,21.3,82.9,4.2,51.5
AIR-098,Quito,Industrial,Primavera,1478,19.0,77.6,12.1,46.2
AIR-099,Quito,Periurbana,Otoño,496,18.8,64.4,8.5,22.0
AIR-100,Quito,Céntrica,Otoño,1641,17.9,70.9,15.8,42.6
AIR-101,Cuenca,Industrial,Verano,1321,26.4,58.5,10.1,41.4
AIR-102,Loja,Céntrica,Otoño,1445,18.2,62.9,10.8,45.1
AIR-103,Loja,Industrial,Primavera,1356,18.4,78.3,13.6,37.3
AIR-104,Cuenca,Industrial,Verano,1411,25.8,69.2,13.3,41.7
AIR-105,Manta,Periurbana,Verano,479,23.0,61.9,13.1,13.2
AIR-106,Cuenca,Residencial,Invierno,511,14.4,63.2,17.5,25.0
AIR-107,Loja,Periurbana,Otoño,585,23.1,53.3,19.6,26.4
AIR-108,Quito,Periurbana,Verano,535,25.0,93.4,6.9,19.7
AIR-109,Quito,Residencial,Invierno,833,16.8,65.8,13.4,38.9
AIR-110,Quito,Céntrica,Invierno,1173,13.1,84.6,14.6,38.8
AIR-111,Manta,Industrial,Primavera,1386,15.1,78.9,11.9,45.0
AIR-112,Manta,Industrial,Invierno,2097,10.4,57.3,14.8,55.8
AIR-113,Loja,Periurbana,Primavera,395,22.5,53.4,10.0,18.7
AIR-114,Guayaquil,Periurbana,Primavera,346,24.1,61.4,5.9,20.2
AIR-115,Loja,Industrial,Verano,1535,22.6,73.3,8.0,45.7
AIR-116,Manta,Residencial,Primavera,765,24.5,46.7,16.8,25.4
AIR-117,Guayaquil,Periurbana,Primavera,242,18.2,56.5,18.3,11.7
AIR-118,Quito,Periurbana,Invierno,434,12.0,61.6,10.6,31.0
AIR-119,Manta,Residencial,Verano,741,30.1,73.9,4.7,27.5
AIR-120,Guayaquil,Residencial,Verano,941,22.4,76.4,13.4,25.3
AIR-121,Manta,Céntrica,Primavera,1741,17.3,64.4,11.1,45.2
AIR-122,Manta,Residencial,Verano,606,25.6,74.3,14.4,23.4
AIR-123,Cuenca,Céntrica,Verano,1981,24.0,67.2,15.9,43.9
AIR-124,Manta,Industrial,Invierno,1512,14.1,95.7,19.3,47.1
AIR-125,Manta,Céntrica,Invierno,1750,13.7,65.6,12.1,52.3
AIR-126,Cuenca,Industrial,Primavera,2333,19.9,62.7,7.0,56.9
AIR-127,Quito,Residencial,Primavera,1069,19.0,64.8,14.0,30.7
AIR-128,Manta,Industrial,Invierno,1184,14.0,60.7,7.5,51.4
AIR-129,Manta,Céntrica,Otoño,1047,16.6,64.7,7.7,37.9
AIR-130,Quito,Residencial,Verano,649,24.1,94.8,10.9,26.9
AIR-131,Loja,Residencial,Otoño,817,18.5,43.5,12.9,26.5
AIR-132,Cuenca,Industrial,Primavera,1822,16.5,69.0,11.8,49.8
AIR-133,Guayaquil,Industrial,Primavera,1907,22.3,80.7,8.2,53.7
AIR-134,Manta,Céntrica,Otoño,1879,15.9,65.8,21.2,43.1
AIR-135,Guayaquil,Céntrica,Verano,1889,25.5,62.5,11.0,45.3
AIR-136,Manta,Periurbana,Invierno,324,13.7,69.1,15.2,28.4
AIR-137,Loja,Industrial,Verano,1791,24.7,39.8,2.5,51.7
AIR-138,Quito,Céntrica,Invierno,1786,15.1,80.9,9.7,50.8
AIR-139,Guayaquil,Céntrica,Verano,1697,29.6,76.6,14.2,39.2
AIR-140,Cuenca,Periurbana,Primavera,432,17.9,58.4,13.7,21.1
AIR-141,Loja,Residencial,Verano,620,24.1,60.4,10.3,23.3
AIR-142,Loja,Industrial,Primavera,1308,12.4,82.2,5.0,43.0
AIR-143,Cuenca,Residencial,Invierno,1011,12.9,70.7,23.7,30.6
AIR-144,Manta,Industrial,Primavera,1321,17.5,85.1,12.4,41.0
AIR-145,Quito,Céntrica,Verano,1449,21.9,80.3,13.8,39.1
AIR-146,Cuenca,Residencial,Otoño,686,24.0,72.8,10.8,27.5
AIR-147,Quito,Céntrica,Otoño,2323,18.0,61.9,8.2,58.4
AIR-148,Loja,Céntrica,Verano,1347,25.9,53.7,10.1,38.1
AIR-149,Manta,Céntrica,Primavera,1837,19.6,74.2,9.9,43.4
AIR-150,Cuenca,Industrial,Otoño,1115,17.3,67.5,5.4,41.9
